review,sentiment
When a movie like The Dukes of Hazzard brings in over 75 million it makes some incredibly sad statements about the condition of our own society Either we are collectively too stupid to stay away from trash like this or maybe Im just not realizing how many people this kind of noeffort trash will appeal tobr br Hollywood has had no incentive to make good movies since if it puts out trash then people will see it anyways since there is nothing else on screen This is that I walked out despite getting a free movie pass The dialogue could not be dumber The stunts could not be more overthetop and outrageous Perhaps this bigger that big image appeals to Texans but it didnt appeal to me nor anyone else in the theater None of the big names were in this careerending flick except for Burt Reynolds which says all you need to hear Jessica Simpson  dont make me laughbr br I wouldnt even recommend this film for video even if you were desperate This was all about fooling the public to make enough money after opening day to equal or do better than it cost through marketing They did despite the public being forewarned Stupidity abound,negative
This movie is probably for you It had an overall meditative quality from the music to the beautiful photography and listening to the often cliché things about life that Andy Goldsworthy would say as he worked or in between shots If youre familiar with Buddhism that is the sort of the sense I got out of this film The impermanence of life the beauty of nature the interconnectedness of all things etc However what I did not understand confused and ultimately forced me to leave without finishing I saw over an hour of it was the redundancy of the whole thing You only find out bits and pieces of why hes commissioned and how he can even afford to live off of this kind of work The art work comes alive but all his talking with no conclusions leads to dead ends,positive
Usually I dont think Hollywood productions are fit to be called film so I call them movies instead But this piece of elephant manure is not even fit to be called a movie hence the quotes in the titlebr br Where shall i start 1 If this isnt the start of geriatric casting it sure is the epitome of it Stefanie Powers is supposed to play someone even LESS than half her age shes supposed to play an 18 year old and she is FORTY effing TWO br br 2 A horrible and stupid mindless portrayal of Paris and France where we see cliché characters such as the sympathetic grumpy shop owner the bitchy queen of models the fairy god mother exqueen of models etc This film is surpassed only in this respect by the Da Vinci Code which reviewers correctly determined was a comedy br br 3 Its highly and utterly ridiculous to have no nudity in a film about a time and a place where nudity was so common place especially if the whole focus is about thatbr br 4 The horrible accents br br 5 The Nana Mouskouri elevatormusicbr br I could go on but i think this is enough And I was able to make these observations after watching this crap for just half an hour WHILE surfing the internet and talking to my friends about math equations  I mean br br I invite everyone to add to my list  P D,negative
As a Long Island independent film maker myself and having have had two theatrical releases under my producingdirecting belt I had always been told of how much I could learn by viewing a FRED CARPENTER production so I was lucky enough to have his Eddie Monroe as my initiation to his superb budgeting production casting settings and masterful directing talents My heart went out to its characters its story and was totally won over by the trickswitch ending that brought the films plot to fruition Locations were marvelously chosen and human emotions in its characters brought a realistic link to my bonding with all the elements that Mr Carpenter utilized throughout to his and his films benefit,positive
The Hazing is confused mumbojumbo that wants so hard to be The Evil Dead that it even references Bruce Campbell several times The problem is it is simply not in the same league as that terrific movie This movie is nowhere near as original The plot has been used before by Kevin Tenney in Night of the Demons and that was a lot more fun This flick wastes too much time with complicated exposition before getting the kids into the spooky mansion and starting the demonic happeningsbr br Brad Dourif is as usual not given much to do here but when he is on screen he puts in another overthetop performance that would make Christopher Walken jealous As for the acting of the kids its passable but by no means good The shaky camera work is more annoying than clever or atmospheric There are a few good moments when the first guy gets possessed and throws around some deadly one liners while dispatching his victims but it was never scary for a second The gore level is midrange to low but the director tries to make up for it by showing the actresses topless a few times All in all just okay if you have 87 minutes to waste,negative
One of the most disgusting films I have ever seen I wanted to vomit after watching it I saw this movie in my American History class and the purpose was to see an incite on the life of a farmer in the West during the late 1800s What we saw were pigs being shot and then slaughtered human birth branding Oh and at the end there was a live birth of a calf and let me tell you that the birth itself wasnt too bad but the numerous fluids that came out drove most people in my class to the bathroom The story itself was OK The premise of the story is a widow and her daughter and they move to the west to be a house keeper of this cowboy They live a life of hardship and it is an interesting a pretty accurate view of life in the West during the late 1800s But if you have a choice do not see this movie,negative
I could see this film is super He didnt surprise to oneself when so that it was taking place for the truth this way by itself how swigged flight to the which didnt have the place but it is only such an conspiratorial theory Rightbr br Very I liked watching this film when I was the child I am interesting which so that it was if it turned out that such a flight was taking place really certainly to it for not a belief because it is denying logic and the common sense Who at healthy senses sent to kids with space shuttle into the orbit I very like reading for the subject American and Soviet space programs I know a few missions of space shuttles remained provided by CIA with the clause TOP SECRET certainly these are only such my divagations but who knows,positive
Good Folks I stumbled on this film on evening while I was grading papers My academic specialty is AngloSaxon literature and I can say that no one has ever done the genre the honor it deserves The Icelandic Beowulf and Grendel is the least offensive I have seen and I did pay 300 for my copy This SciFi version ranks with the Christopher Lambert version Yuckbr br What didnt I like CGI for one Amazingly bad More importantly is the faithfulness to the storyline not to mention the stilted acting I am used to both with all the versions I have seenbr br Delighted Regardless Peter,negative
This film has some rather shocking scenes and subject matter considering it was made in 1971br br Clint Eastwood Geraldine Page and Elizabeth Hartman do excellent work in the film as do all the cast membersbr br Set during the Civil War the film begins when a wounded Yankee soldier Johnny portrayed by Clint Eastwood is given refuge and help at a girls academy located in the southbr br The headmistress of the school Ms Farnsworth Geraldine Page the one teacherEdwina Elizabeth Hartman and a small group of half grown girls have been without a man in their midst for perhaps a little too longbr br While their loyalties lay with the Confederacy their emotions and physical needs definitely lead them in the opposite direction Johnny immediately uses his masculine charms to try to win the women over to his sideand keep them from turning him over to the patrollersbr br However feelings previously stoked by incestuous behavior an adulterous father a brutal rape and adolescent inexperience combined with jealousiesturn things upside down with some unexpected consequences for both Johnny and the schools residentsbr br 10 stars,positive
Lets see What annoyed me most The extra long dance scene in the beginning watching people twirling around so much I got dizzy Without even showing where the music was coming from All part of a college graduation that had nothing to do with the rest of the film Or perhaps it was the fact that each scene lasted about fifteen minutes longer than they had to What a drag this film is And the most annoying aspect is the bad guys are so bad so obviously horrible that it seems as if the director were making this film for second graders These people are bad These people are good Whenever a movie has its agendaheart on its sleeve I am beside myself Theres a scene in a rollerskating rink that seems totally out of place Long drawnout love scenes with the main character and a Russian prostitute that seems more like a rock star and his sexy groupie John Hurts character who is part of the overlong beginning scene drinks and disagrees with the overdone villains His death scene could very well be the stupidest in history And I hear everyone even the haters of this film talk about how gorgeous the cinematography is I think it looks washedout Watch Days of Heaven if you want to see gorgeous backyards This movie is even worse than the anti hype Its pointless The epilogue showing the main character in a yacht was almost as dumb as the prologue The battle scenes are tedious and dizzying This movie is really bad Avoid it unless you love bad movies because this is the king of them,negative
