,original_review,INV review,nonperturbed_label,perturbed_label,true label,pass/fail
17,This movie had all the potential and makings of a great feel good great love storythe cast is perfect the visuals work the original premise works the characters workbut the story moves from one chess move to the next in a most predictable waynot one character in the movie has any depth or has any depth explained by the director All we know about Catherine ZetaJones character is she is obsessed with her worldnobody is allowed in and nobody challenges her worldthat much is obviousbut the remaining characters all have their own dimensions that are really never explored or exposedAaron Eckharts character had so much more to offer to the story but wasnt allowed Abigail Breslins character is so easy to understand that her performance comes across somewhat predictable and phonyin the end everything reverts back to the forced turbulent world of Catherine ZetaJones which the audience never totally falls forhonestly her turbulent world is not much more than a portrayal of a selfish self obsessed spoiled lady who most people would not have much time or sympathy for in the real world The director needed to make her a hero and never doesin the end it is Eckharts character that ultimately wins because he winsbr  Not a lousy movie just a movie that could have been a lot better with more depth of personalities allowed in explained and exposedbr  Cheers,This movie had all the potential and makings of a great feel good great love storythe cast is perfect the visuals work the original premise works the characters workbut the story moves from one chess move to the next in a most predictable waynot one character in the movie has any depth or has any depth explained by the director All we know about Marybel Dryer character is she is obsessed with her worldnobody is allowed in and nobody challenges her worldthat much is obviousbut the remaining characters all have their own dimensions that are really never explored or exposedAaron Eckharts character had so much more to offer to the story but wasnt,1,0,0,fail
21,It is a great tragedy that both Richard Harris and John Derek are no longer with us But that shouldnt blind anybody to the fact that in 1981 a pretty ugly blotch appears on both mens CVs No doubt John Derek conceived this movie doing for his wife what Some Like it Hot and One Million Years BC did for Maryln Monroe and Raquel Welsh respectively creating an iconic sex symbol for the new decade Having run to embrace Dudley Moore on the beach in 10 Bos reputation an allstar cast and location filming in Sri Lanka meant that nothing could go wrong Alas as they say Mortals plan and God laughs It is said that when this film premiered in 1981 the Edgar Rice Burrows estate tried to take legal action against it Bo Derek plays Jane Parker who sets off into turnofthe century Africa to be reunited with her boozy abusive Dad Richard Harris Daddy Parker is an explorer who has set out to find the Great Inland Sea the stuff of local legend whose existence has been poopooed by conventional wisdom Harris is worth watching for a wonderfully hammy tanked up performance which includes singing an Irish ditty at an Indian elephant that somehow found its way into Africa did it arrive at the same time as the OrangUtan from Sumatra Furthermore although Jane professes to despise Parker Bo and Richs relationship is creepily incestuous testimony perhaps to the effects of the tropical heat Before long however local legends start to circulate about a Great White Ape and Jane hears the famous yodel This is the movies cue for Miles OKeefe a future BMovie star making a rather odd debut as the loinclothed Lord of the Jungle Unlike Johnny Weismuller with his pidgin English or Ron Ely who speaks the language fluently the OKeefe Tarzan is mute Given some of Bo and Richies dialog though this is probably not a bad thing Harris and his caravan eventually reaches the Great Inland Sea located atop a gigantic plateau that seems to run halfway across Africahang on arent seas lakes and other watery places generally located in lowlying areas Nevermind it is just one of many anomalies in the John Derek universe The crew attempt to mount the cliffs and when the ropes snap Harris roars echoing abuse at the hapless men who have plummeted to their deaths On another occasion Jane decides to take a nude swim by the Inland Sea giving another occasion to see some gratuitous nudity Out of nowhere a single male lion appears Now lions usually travel in prides and never go near beaches but later on Tarzan will be wrestling with a venomous boa constrictor Zoology doesnt seem to have been one of John Dereks strong points This being a Tarzan movie Jane becomes enchanted with the Lord of the Jungle and resolves to take his virginity But having seen his closeness to some of those chimps you do have to wonderSpeaking of which its not only the Edgar Rice Burroughs estate could have sued It is highly probable that certain primates were on the phone to their lawyers the chimps here make you miss Cheeta badly Especially when they do ridiculous things like ride on the backs of elephants and clap their hands when Tarzan and Jane finally get it on The climax of this film has Bo and Harris captured by some rather stereotypical cannibals who paint our heroine and prepare to sacrificeeatexecute her Suffice is to say that The Great Wooden Ape gets his girl and SPOILER Harris gets himself impaled on a huge elephant tusk This doesnt stop the dying Parker from delivering a rambling monologue to Jane As far as I am aware the law suit from the Rice Burrows estate never materialized but Tarzan the Ape Man was crucified at the box office no kidding A pity John Derek could have directed Tarzan the Ape Man 2 with Bo Derek and Miles OKeefe living in domestic bliss and Dudley Moore as Boy,It is a great tragedy that both Jadeyn Doggett and Brissia Tolliver are no longer with us But that shouldnt blind anybody to the fact that in 1981 a pretty ugly blotch appears on both mens CVs No doubt Malka Millet conceived this movie doing for his wife what Some Like it Hot and One Million Years BC did for Chelby Tavares and Kalib Valenti respectively creating an iconic sex symbol for the new decade Having run to embrace Kobi Kennard on the beach in 10 Bos reputation an allstar cast and location filming in Kennewick meant that nothing could go wrong Alas as they say Trenten plan and Tyleah laughs It is said that when this,1,0,0,fail
55,A genuinely odd surreal jumble of visual ideas which probably looked extremely puzzling on the printed page just what drew Robert Redford to the project one may never know Sidney J Furie directs this knockabout journey of an egotistical motorcycle racer taking a milquetoast juvenile under his wing the kid looks up to this antihero and eventually begins to ape his amorality Disjointed and offputtingthough for some the sight of Redford disrobing about to disrobe or having been disrobed might be enough to warrant attention Lauren Hutton gets naked too however all the sexy flashes are just teasers for the prurientminded there simply is no story Perhaps Furie was making an esoteric comment about feckless wheelers and their flock circa 1970 If true then this preBlank Generation approach backfired as the film was not a success 12 from ,A genuinely odd surreal jumble of visual ideas which probably looked extremely puzzling on the printed page just what drew Aydenn Mustafa to the project one may never know Karena Schoen Renz directs this knockabout journey of an egotistical motorcycle racer taking a milquetoast juvenile under his wing the kid looks up to this antihero and eventually begins to ape his amorality Disjointed and offputtingthough for some the sight of Conrado disrobing about to disrobe or having been disrobed might be enough to warrant attention Emmalyn Schell gets naked too however all the sexy flashes are just teasers for the prurientminded,0,1,0,fail
76,Yes I did as I sit here redfaced remembering having felt almost guilty as I watched it a couple of weeks back while my wife chose to watch something as inconsequential in comparison as Mommie Dearestbr  How does one explain the appeal of Batman and Robin  I mean the only ones who ever really counted Adam West and Burt Ward It was a terrible show with terrible plots and terrible acting  and oh yes it was terribly funny And the same applies to this reunion and flashback movie Adam and Burt are invited to an auction where the old Batmobile is going to be sold off for charity But it gets stolen and our pals as themselves jump into their old characters personas if not their costumes and head off to find out whats happened Along the way they reminisce about the series and we see how it all came together in flashbacks with Jack Brewer and Jason Marsden playing the young Adam and Burt of the TV series It really was quite interesting to get some behind the scenes looks at the old series and Adam and Burt just stepped perfectly back into character even though they werent really in character  well youd have to watch it to see what I mean It was also great to see Julie Newmar and Frank Gorshinbr  If youre not a fan of the old series youll hate this If  heaven forbid  you actually thought Michael Keaton and George Clooney made acceptable Batmans then youll hate this even more But if you grew up with Adam and Burt and are still willing to admit that you never missed an episode  well this ones for youbr  Yes its true  910,Yes I did as I sit here redfaced remembering having felt almost guilty as I watched it a couple of weeks back while my wife chose to watch something as inconsequential in comparison as Mommie Jquan How does one explain the appeal of Brynnley and Hollis I mean the only ones who ever really counted Lisandro Wesson and Sergio Dewitt It was a terrible show with terrible plots and terrible acting and oh yes it was terribly funny And the same applies to this reunion and flashback movie Chani and Quade are invited to an auction where the old Batmobile is going to be sold off for charity But it gets stolen and our pals as,1,0,1,fail
77,I am always so frustrated that the majority of science fiction movies are really intergalactic westerns or war dramas Even Star Wars which is visually brilliant has one of its central images a futuristic gang that couldnt shoot straight Imagine your coming upon about 600 people with conventional weapons most of them having an open shot and they missbr  I have read much science fiction and wish there were more movies for the thinking person Forbidden Planet one of the earliest of the genre is still one of the very best The story is based on a long extinct civilization the Krell who created machines which could boost the intelligence of any being by quantum leaps Unfortunately what they hadnt bargained for is that the brain is a center for other thoughts than intellectual The primitive aspect of the brain the Id as Freud called it is allowed to go unchecked It is released in sleep a bad dream come to corporeal existence Walter Pigeon Dr Morbius is the one who has jacked his brain to this level and with it has built machines and defenses that keep him barely one step ahead of the horrors of the recesses of his own mind His thoughts are creating horrors that he soon will not be able to defend The Krell a much superior species could not stop it it destroyed them The landing party has never been of great interest to me The rest of the actors are pretty interchangeable Ann Francis is beautiful and naive and certainly would have produced quite a reaction in the fifties adolescent male Her fathers ire is exacerbated by her innocence and the wolfy fifties astronauts for they are more like construction workers on the make than real astronauts They are always trying to figure out dames The cook is a great character with his obsession for hooch Robbie the Robot has much more personality than most of the crew and one wonders if Mr Spock may not be a soulmate to the literal thinking of this artificial creature The whole movie is very satisfying because the situation is the star Morbius cant turn back and so he is destined to destroy himself and everything with him There are few science fiction films that are worth seeing more than once this is one that can coast right into the 21st century,I am always so frustrated that the majority of science fiction movies are really intergalactic westerns or war dramas Even Star Wars which is visually brilliant has one of its central images a futuristic gang that couldnt shoot straight Imagine your coming upon about 600 people with conventional weapons most of them having an open shot and they missbr I have read much science fiction and wish there were more movies for the thinking person Forbidden Planet one of the earliest of the genre is still one of the very best The story is based on a long extinct civilization the Krell who created machines which could boost the intelligence of any being by quantum leaps Unfortunately what they hadnt,0,1,1,fail
79,Wesley Snipes is James Dial an assassin for hire agent of the CIA and pure badass special operative During his free time Dial dons a cowboy hat and breeds horses with macho names such as Beautybr  Enter agent Collins his supervising officer Enter a new assignment  kill a terrorist that is in UK custody Of course the United Kingdom being an allied state is a great place for covert ops and headshots outside of courtroomsbr  The assassination is a big success apart from the fact that the escape plan blew So Dials partner and local liaison gets killed in action trying to escape the police whilst Dial becomes hot property with the London coppers trying to get to him and CIA trying to dispose of himbr  Fortunately for Dial the safehouse is routinely visited by a teenager Emily Day Eliza Bennett who loves hanging out with coldblooded killers with arrest warrants and help them escape from the evil UK law enforcementbr  With a script like that need I say more On the plus side Wesley Snipes is Wesley Snipes be that a pro or a con and the movie is quite engaging On the minus editing is very disjointing and has a hurl effect on the stomach,Devonne Genovese is Tequila Strom an assassin for hire agent of the New York Life Insurance Company and pure badass special operative During his free time Ryley dons a cowboy hat and breeds horses with macho names such as Markayla Enter agent Aleeza his supervising officer Enter a new assignment kill a terrorist that is in Mankato custody Of course the Folsom being an allied state is a great place for covert ops and headshots outside of courtroomsbr The assassination is a big success apart from the fact that the escape plan blew So Allyssa partner and local liaison gets killed in action trying to escape the police whilst Xitlali becomes hot property with the Palo Alto coppers trying to,0,1,0,fail
95,Since most reviews of this film are of screenings seen decades ago Id like to add a more recent one the film opens with stock footage of B17s bombing Germany the film cuts to Oskar Werners Hauptmann captain Wust character and his aide running for cover while making their way to Hitlers Fuehrer Bunker once inside they are debriefed by bunker staff personnel the film then cuts to one of many conference scenes with Albin Skoda giving a decent impression of Adolf Hitler rallying his officers to Ultimate Victory while Werners character is shown as slowly coming to realize the bunker denizens are caught up in a fantasy worldsome nonbunker events are depicted most notable being the flooding of the subway system to prevent a Russian advance through them and a minor subplot involving a young member of the Flak units and his familys difficulty in survivingthis film suffers from a number of detail inaccuracies that a German film made only 10 years after WW2 should not have included the actor portraying Goebbels Willy Krause wears the same uniform as Hitler including arm eagle Goebbels wore a brown Nazi Party uniform with swastika armbandthe SS soldiers wear German army camouflage the well documented scene of Hitler awarding the iron cross to boys of the Hitler Youth is shown as having taken place INSIDE the bunker it was done outside in the courtyard and lastly Hitlers suicide weapon is clearly shown as a Belgian browning model 1922most accounts agree it was a Walther PPKsome bits of acting also seem wholly inaccurate with the drunken dance scene near the end of the film being notable this bit is shown as a cabaret skit with a intoxicated wounded soldier his arm in a splint maniacally goosestepping to music while a nurse does a combination stripteasebelly dance all by candlelight this is actually embarrassing to watchthe most incredible bit is when Werners Captain Wust gains an audience alone with Skodas Hitler Hitler is shown as slumped on a wall bench drugged and delirious when Werners character begins to question him Hitler starts screaming which brings in a SS guard who mortally wounds Werners character in the back with a gunshotthis fabricated scene is not based on any true historic accountWerners character is then hauled off to die in a anteroom while Hitler prepares his own ending Hitlers farewell to his staff is shown but the suicide is offscreen the final seconds of the movie show Hitlers funeral pyre smoke slowly forming into a ghostly image of the face of the dead Oskar WernerHauptmann Wustthis film is more allegorical than historical and anyone interested in this period would do better to check out more recent films such as the 1973 remake Hitler the last 10 days or the German film Downfall Der Untergang if they wish a more true accounting of this dramatic story these last two films are based on first person eyewitness accounts with Hitler the last 10 days being compiled from Gerhard Boldts autobiography as a staff officer in the Fuehrer Bunker and Downfall being done from Hitlers secretarys recollections the screen play for Der Letzte Akte is taken from American Nuremberg war crimes trial judge Michael Musmannos book Ten days to die which is more a compilation of events many obviously fanciful than eyewitness historyit is surprising that Hugh Trevor Ropers accountThe last days of Hitler was never made into a film,Since most reviews of this film are of screenings seen decades ago Id like to add a more recent one the film opens with stock footage of B17s bombing Marysville the film cuts to Venessa Currie Monreal captain Amaru character and his aide running for cover while making their way to Alexandria once inside they are debriefed by bunker staff personnel the film then cuts to one of many conference scenes with Meegan Echols giving a decent impression of Dimas Freedman rallying his officers to Ultimate Victory while Heaven character is shown as slowly coming to realize the bunker denizens are caught up in,0,1,0,fail
104,Set in Japan Ashura is the story of Demons taking over the earth The premise is far more complicated but the arching storyline should not be forgotten Japan is in turmoil with Demons occupying human form roaming the lands Generally speaking Demons look and act like humans but are evil The Japanese word they use is not just demons but rather the classical form of ogre which is a mythological creature of some historic stature Were talking about creatures that would appear more like gods than simple ugly childeating monstersbr  However in human form all that remains is the green eyes and green teeth which appear when put under any sort of stress In order to save the world from Demons there are Demonslayers Trained and skilled warriors who can spot and defeat most every kind of demon and who guard the passageway between the realm of hell and that of the real world These are the basic premisesbr  The story begins with a festival in a local town Amid these festivities 3 men ride in dressed in all black seemingly intent on doing harm The villagers run excepting those which are demonic in nature who turn greeneyed and try to kill them The DemonSlayers end up killing off the majority of the demons From here the story gets interesting The whole essence of the story begins when at the gate to hell a fortunetelling demon appears before the 3 gatekeepers revealing the arrival of Ashura With it comes the end of the reign of man and begins the reign of demons Ashura however requires some form of birthing process the first step of which occurred during the opening battle but which wont be revealed to you until you see the film The 3 demonslayers are a wise old man a powerful yet unprincipled man and a skilled and compassionate warrior Immediately you can see the split between them the old man wanting to stop the demons the powerful one wanting to bend them to his increasing ego maniacal wishes and the third looking to stop the second Along the way he meets a woman who he begins to take fancy to and believes himself to have a special relationship with She in turn is a brigand who is goodnatured sought after by authorities When the two finally meet face to face he places his hand on her shoulder and suddenly she is scathed by a mark on her shoulder Needless to say the mark is not a good sign What ensues is a battle for earth a battle between both good and evil as it should be but also between good and good itselfbr  The point for me of this film became something other than what I thought it would I came in thinking it would either be a fastpaced action style film with demons or a horror film with macabre evil and foul creatures the likes of which would be seen in Ringu and Juon I was however mistaken in the best possible way The story it seemed to me is an adaptation of a very old Japanese play and it plays itself out as such combining the essentially action driven adrenaline scenes with a great concept an amazing narrative and a style which makes you compelled to think rather than just sit wallowing in gore Many scenes are painted with luxurious dialogue between two characters the likes of which will never be seen in a Hollywood film It becomes a practically theatrical experience which takes your breath awaybr  The film makes use of some immaculate scenery and camerawork comparable to many great Samurai films of our days but adding to it a wellthought and classical plot With great acting great music and thoroughly stunning scenes its a must watch in my bookbr  That being said it does need the disclaimer that it is not for everyone Its not cheap thrills horror its not balls to the wall action Its a horror style play thats been filmed It has very much to say and takes the time to do so flying in the face of the conventional oneliners Like Japanese plays the exchanges between the characters can last for many minutes before they come together for a quick yet marvelous battle scene If you can enjoy such a thing this is a masterpiece If your idea of a good film is slasher flicks with little plot and excessive nudity then you can easily watch something elsebr  Overall this film to me is a unique and amazing one which keeps you riveted and amused it has good writing good acting and good direction It is all in all a solidly great film,Set in Santa Fe Ashura is the story of Demons taking over the earth The premise is far more complicated but the arching storyline should not be forgotten Hemet is in turmoil with Demons occupying human form roaming the lands Generally speaking Demons look and act like humans but are evil The Japanese word they use is not just demons but rather the classical form of ogre which is a mythological creature of some historic stature Were talking about creatures that would appear more like gods than simple ugly childeating monstersbr However in human form all that remains is the green eyes and green teeth which appear when put under any sort of stress In order to save the world from Demons,1,0,1,fail
108,Catherine Brreillat is a French director who loves to provoke her audience She takes us along to witness how a film is done on location The movie in production seems to be based on herself since the person at the center of the story is Jeanne a woman director much like Ms Breillat Jeanne acts as the alter ego of the real directorbr  Jeanne reaches an impasse at the start of filming Not only has she picked the wrong time to photograph this movie during a cold spell as it involves beach locations that are obviously too cold for the actors and extras Jeanne has problems with the two principal actors especially the male lead who has problems accepting the way the director has decided to show him in the movie the lead actress is no angel eitherbr  Movie making Ms Breillat tells us is a process like no other in a creative work of art First there is the writing period in which in this case Jeanne has written a screen play that when it goes into production reveals problems the writerdirector didnt think about There is the problem of how she wants to photograph a love scene in which the young woman of the story has her first sex contact What appeared clever in the written page doesnt necessarily translate into an easy time in front of the camera The actor is made to wear a false penis and has a lot of problems accepting the fact that a make up has to touch him in ways he never thought he would ever be touched by another manbr  The luminous Anne Parillaud is marvelous as Jeanne the director She makes observations about the production the actors and the crew that fit well into the story being told Gregoire Colin and Roxane Mesquide play the lead actors with all the insecurity that some actors bring to a movie set Jeanne has to massage their egos in order to get what she wants in the end Ashley Waninnger plays Leo Jeannes assistantbr  Sex Is Comedy allows Ms Breillet to give us her own take on films in general This is a great look at the way movies are done in a typical Breillat style,Zoraida Lerner is a French director who loves to provoke her audience She takes us along to witness how a film is done on location The movie in production seems to be based on herself since the person at the center of the story is Zakary a woman director much like Ms Nalleli Bradley acts as the alter ego of the real directorbr Jayron reaches an impasse at the start of filming Not only has she picked the wrong time to photograph this movie during a cold spell as it involves beach locations that are obviously too cold for the actors and extras Graden has problems with the two principal actors especially the male lead who has problems accepting,1,0,1,fail
119,My 7yearold daughter loved it as Disney execs crassly calculated that she would Thats the problem with Air Buddies Its a strictly bythenumbers childrens film filled with carefully calculated cuteness a couple politically correct morals and enough potty humor to avoid the dreaded G rating As a parent or even as a 10yearold youve seen it all before and done better before Think 101 Dalmatians Meets Home Alone and you get the general idea Im of the opinion that a good childrens story is a good story period Air Buddies which is about as original as recycled paper fails to meet that standard It isnt the worst video your child could watch but there are megatons of better ones,My 7yearold daughter loved it as Mylan Inc. execs crassly calculated that she would Thats the problem with Air Buddies Its a strictly bythenumbers childrens film filled with carefully calculated cuteness a couple politically correct morals and enough potty humor to avoid the dreaded G rating As a parent or even as a 10yearold youve seen it all before and done better before Think 101 Dalmatians Meets Home Alone and you get the general idea Im of the opinion that a good childrens story is a good story period Air Buddies which is about as original as recycled paper fails to meet that standard It isnt,0,1,0,fail
