review,sentiment,word_count,length_bucket,char_count,char_length_bucket
Great for the Charlotte area and those who are not French However the authenticity lacks actual french cuisine,negative,18,<50,116,<500
Environment is pretty neat Online order process is easy and they make your cake very quickly Cake looks beautiful however the taste doesnt live up to the aesthetics Price is little high as well,negative,34,25-50,198,<500
I went early Saturday morning on a walk from Cosmo and wanted coffee that wasnt starbucks I came for the palmsized macaroons after seeing it on yelp and I was not disappointed Followed the directions of looking under the escalators past the Grand Lux Cafe and lo and behold a long but quick moving line So many flavors to choose from and I settled on a pistachio one and a strawberry lemon one to go with my small coffee Quite a pricey little breakfast snack but youre in Vegas and if you like macaroons its worth it,positive,97,75-100,530,500-1000
Miserable experience at churn trying to get ice cream It was a Thursday night and my FiancÃ and I decided to try church since it comes so highly recommended Im not exactly sure why though We waited 40 minutes outside while one worker scooped ice cream and the other two workers looked busy There was no rush or movement at all essentially While we wait we thought well okay as long as the ice cream is amazing itll be worth it We were totally wrong We got two freezies which are essentially blizzards that cost us 20 for chocolate ice cream and some toppings sprinkled on top we didnt even eat them because they melted so quickly and were a waste of calories We could have bought 4 gallons of ice cream for that price and would have been happier Next time well go to DQ or Culvers for better ice cream for 14 of the cost,negative,157,150-200,841,500-1000
Nahnot worth itI heard about Milk coming from LA and was disappointed my first time trying it while staying at Cosmo Ordered the milk bar pie for 6 Got back to my room and tasted this underwhelming oat bar that I definitely know I can make myself,negative,47,25-50,256,<500
As me and my wife walked through the Venetian we discovered Carlos Bakery Buddys bakery from the tlc channel My wife was excited as she is a fan of his We purchased 3 things a chocolate cookie with white chocolate chips a mini eclair and cannoli it was nothing special and over priced those 3 items cost us 11 for a tasteless an over sweet cannoli only the pastry of it was good and a stale mini eclair it appears this place is just name driven no quality Will never go back hopefullu Buddy himself will and set the standards if his products as it doesnt belong in a tasteful and classy place such as the Venetian,negative,117,100-150,639,500-1000
My mom was in town visiting and LOVES the show Cake Boss so we decided to stop by the shop boy were we disappointed There was no line but we found a very limited selection earlier in the day it was a very small space and the girl behind the register could not answer any of my mothers questions ie will more product be made and put out for purchase what time do you close tonight etc really We decided not to buy anything and make it a short visit due to the experience not to mention the ridiculous prices Yikes needs some work to make things better for sure,negative,110,100-150,580,500-1000
Pros Delicious food Nice services Many varieties Unique Cons Long lineI dont think its worth it to wait that long but than again I am impatient pricey but you are in Vegas so i expect to be a little expensive,positive,40,25-50,220,<500
The smell of butter is very strong you look great but the taste is very mediocre compared to the price,negative,20,<50,102,<500
Milk Bar is located on the second floor of Cosmo right in front of the escalators Given that there was so much hype around their NY location I was really excited to finally be able to try it for myself I guess Im glad I got to try it once The cereal milk ice cream was SO SO SO SO SO overrated Even considering strip prices the amount you get for the price you pay is not worth it at all I liked that the taste of the ice cream was subtle I do not suggest the corn flake topping I get that people add salt to bring out the flavors of desserts  but this was wayyy too salty We also got a corn cookie and compost cookie The corn cookie tasted like corn bread in cookie form which I surprisingly really enjoyed Compost cookie had interesting texture to it it has potato chips in it In regards to the service it was very subpar They were quick to fulfill my order but lets be real youre just dispensing ice cream and handing me prepackaged cookies The lady who took my order could not understand my order at all I had to repeat my order several times and still she got it wrong TLDR This place was way overhyped The ice cream and corn cookie werent bad but given the price and service I dont think Ill be coming back,negative,241,200-250,1255,1000-1500
Great cookies great canoli great coffeeLarge selection of beautiful desserts and lunch itmes Looking forward to going back,positive,18,<50,127,<500
Problem is that they use take a number system then let locals cut in line I waited my turn for 3o minutes while people were allowed to cut Cavatelli was so so at best,negative,34,25-50,172,<500
For a place with an 8avg price point it has ZERO atmosphere and enough fluorescent to burn your eyeballs  Five vinyl booths Kitchen supplies in stacked milk crates etc The ice cream was very good but I doubt it will be successful without developing an excitement beyond its expensive ice cream The previous versions of Mary Coyle had a retro charm and still failed  Good luck,negative,68,50-75,383,<500
My boyfriend and I didnt mind waiting the 45 min because it was Carlos Bakery I ordered the mini cheesecake with fruit he had the raspberry tart I kid you not the cheesecake had no flavor and the raspberry tart was two dried cookies with jam in the middle I wouldnt have minded paying for overpriced pastries if they were any good Sadly they were TERRIBLE Dont waste an hour of your life on below par crap Makes me wonder if Carlos bakery is just pure hype Zero stars,negative,89,75-100,477,<500
Everything I tried was disappointing The Cake Their Vanilla pound cake red velvet cake and Italian cake are nothing special All three slices were quite dense The icing was probably the best part of the red velvet and Italian cakes I was hoping for at least one type of cake to be moist and on the lighter side The Macarons I tried the pistachio and cookie dough macarons They were hard and did not taste fresh at all That crispy light texture of the meringue was a hard brittle dense type of texture I will continue my search for a great bakery This is not it,negative,106,100-150,573,500-1000
Latte was not good Ordered 650 am on Nov 14 What more can I say Being a barista varies quite a bit and it very much varies here today,negative,29,25-50,138,<500
Delicious dessertslate night hoursadorable establishmentfriendly service What more can one ask for It was my first visit to Amelies but wont be my last,positive,24,<50,169,<500
Ive had multiple people recommend Prestis to me over the last couple of years but somehow have foolishly avoided it until tonight I really am disappointedin how long it took me to get here I had the antipasto salad a cannoli and creme brÃlÃe I also tasted my friends tiramisu and I was blown away by everything Everything was delicious and clearly homemade The atmosphere was so chill and welcoming and the employees were top notch I felt like family and it was the first time Id ever been I forgot to take pictures of anything in the restaurant but did remember to snatch one of the cannoli I will definitely be a regular here and start bringing my family I recommend you to check it out too,positive,128,100-150,717,500-1000
The macaroon is way worse than I expected from a famous bakery I hope the restaurant is a lot better than this,negative,22,<50,114,<500
Great ice cream shop we found during race weekend Amazing ice cream and shakes Will definitely go back,positive,18,<50,105,<500
This review is for the Creme brÃlÃe donut Texture was greatcrisp caramelized sugar glaze with a creamy center However the taste was very lacking The caramelized sugar tasted burnt and had a slight bitterness to it The donut itself and the creme barely had any taste It wasnt too sweet which is a bonus for me but it wasnt too ANYTHING Im kind of disappointed and Ive definitely had better donuts for cheaper prices On a positive note very cute inside and service was great Parking can be a bit trickythe parallel parking available near the store is all paytopark,negative,100,75-100,586,500-1000
The only thing I didnt like was waiting in line I seriously have no clue why people do not give this 5 stars I had the Cannoli and the cream inside was amazing Not too sweet or heavy I loved the look of the bakery it also has a viewing window so you can watch them making things as you wait in line I will go back next time I visit Vegas,positive,72,50-75,345,<500
In a nut shell I am a vegan and amelies offers no vegan options Having said that I live extremely close to amelies and have visited the bakery several times when friends and family are around On my visits I do politely ask if there are any vegan options that they offer and usually I get a friendly no however the last time I went the person behind the counter was so utterly rude about it it makes me not want to visit this place I understand my dietary needs are a choice and by no means to I expect everyone to conform to them but I dont think its appropriate when a suggestive question is posed that they be rude about it Im just sayin  In other news if you know of any places that have vegan dessert options other than zizis lemme know as Ive got a wicked sweet tooth,negative,153,150-200,801,500-1000
This place was a nice place to have unique flavors of ice cream The ice cream was a perfect balance of sweet and creamy and was kept at the right temperature so that it didnt have any icicles but was not too soft I ended up trying the Yuzu Cherry and the Salted Butter Caramel Prices was decent and the atmosphere was cozy The workers were nice and offered plenty of samples Only thing from giving them a 5 star was the way they scooped the ice cream After working for 3 years in the ice cream service I could not help but cringe at the way she scooped lock your wrist with a power grip Overall it was excellent,positive,120,100-150,624,500-1000
